Symptoms,Diagnosis,Differential Diagnosis,Advise,Image analysis,
IrregularL1M2NADIrregularM1MarblewhiteDarkSNOYes MouthHyesDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhitePiNADSharpYes MouthHyesDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhiteDarkSharpYes MouthHyesDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhitePiNADSNOYes MouthHyesDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhiteDarkSNOYes MouthHyesDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhitePiNADSharpYes MouthSmokingDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhiteDarkSharpYes MouthSmokingDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhitePiNADSNOYes MouthSmokingDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhiteDarkSNOYes MouthSmokingDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhitePiNADSharpYes MouthSmokingDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhiteDarkSharpYes MouthSmokingDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhitePiNADSNOYes MouthSmokingDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1MNADIrregularM1MarblewhiteDarkSNOYes MouthSmokingDorsumtongue,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhitePiNADSharpYes MouthHyesBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhiteDarkSharpYes MouthHyesBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhitePiNADSNOYes MouthHyesBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhiteDarkSNOYes MouthHyesBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhitePiNADSharpYes MouthHyesBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhiteDarkSharpYes MouthHyesBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhitePiNADSNOYes MouthHyesBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhiteDarkSNOYes MouthHyesBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhitePiNADSharpYes MouthSmokingBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhiteDarkSharpYes MouthSmokingBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhitePiNADSNOYes MouthSmokingBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhiteDarkSNOYes MouthSmokingBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhitePiNADSharpYes MouthSmokingBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhiteDarkSharpYes MouthSmokingBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhitePiNADSNOYes MouthSmokingBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADIrregularM1MarblewhiteDarkSNOYes MouthSmokingBmucosa,ORAL SQUAMOUS CELL CARCINOMA,TRAUMATICULCER & CARCINOMA IN SITU,REFER TO A SPECIALIST FOR BIOPSY & SYMPTOMATIC TREATMENT,Severe Dysplasia,
IrregularL1M2NADGNADMNADPiNADSNONoHyesBmucosa,SPECKLEDLEUKOPLAKIA,ORAL SQUAMOUS CELL CARCINOMA & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADDarkSNONoHyesBmucosa,SPECKLEDLEUKOPLAKIA,ORAL SQUAMOUS CELL CARCINOMA & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADPiNADSharpNoHyesBmucosa,SPECKLEDLEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADDarkSharpNoHyesBmucosa,SPECKLEDLEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADPiNADSNONoSmokingBmucosa,SPECKLEDLEUKOPLAKIA,ORAL SQUAMOUS CELL CARCINOMA & CARCINOMA IN SITU ,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADDarkSNONoSmokingBmucosa,SPECKLEDLEUKOPLAKIA,ORAL SQUAMOUS CELL CARCINOMA & CARCINOMA IN SITU ,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADPiNADSharpNoSmokingBmucosa,SPECKLEDLEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADDarkSharpNoSmokingBmucosa,SPECKLEDLEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADPiNADSNONoHyesMixedareas,SPECKLEDLEUKOPLAKIA,ORAL SQUAMOUS CELL CARCINOMA & CARCINOMA IN SITU ,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADDarkSNONoHyesMixedareas,SPECKLEDLEUKOPLAKIA,ORAL SQUAMOUS CELL CARCINOMA & CARCINOMA IN SITU ,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADPiNADSharpNoHyesMixedareas,SPECKLEDLEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADDarkSharpNoHyesMixedareas,SPECKLEDLEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADPiNADSNONoSmokingMixedareas,SPECKLEDLEUKOPLAKIA,ORAL SQUAMOUS CELL CARCINOMA & CARCINOMA IN SITU ,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADDarkSNONoSmokingMixedareas,SPECKLEDLEUKOPLAKIA,ORAL SQUAMOUS CELL CARCINOMA & CARCINOMA IN SITU ,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADPiNADSharpNoSmokingMixedareas,SPECKLEDLEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADDarkSharpNoSmokingMixedareas,SPECKLEDLEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADPiNADSNONoHyesBsulcus,SPECKLEDLEUKOPLAKIA,ORAL SQUAMOUS CELL CARCINOMA & CARCINOMA IN SITU ,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADDarkSNONoHyesBsulcus,SPECKLEDLEUKOPLAKIA,ORAL SQUAMOUS CELL CARCINOMA & CARCINOMA IN SITU ,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADPiNADSharpNoHyesBsulcus,SPECKLEDLEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADDarkSharpNoHyesBsulcus,SPECKLEDLEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADPiNADSNONoSmokingBsulcus,SPECKLEDLEUKOPLAKIA,ORAL SQUAMOUS CELL CARCINOMA & CARCINOMA IN SITU ,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADDarkSNONoSmokingBsulcus,SPECKLEDLEUKOPLAKIA,ORAL SQUAMOUS CELL CARCINOMA & CARCINOMA IN SITU ,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADPiNADSharpNoSmokingBsulcus,SPECKLEDLEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADDarkSharpNoSmokingBsulcus,SPECKLEDLEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADPiNADSNONoHyesPalate,SPECKLEDLEUKOPLAKIA,ORAL SQUAMOUS CELL CARCINOMA & CARCINOMA IN SITU ,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADDarkSNONoHyesPalate,SPECKLEDLEUKOPLAKIA,ORAL SQUAMOUS CELL CARCINOMA & CARCINOMA IN SITU ,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADPiNADSharpNoHyesPalate,SPECKLEDLEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADDarkSharpNoHyesPalate,SPECKLEDLEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADPiNADSNONoSmokingPalate,SPECKLEDLEUKOPLAKIA,ORAL SQUAMOUS CELL CARCINOMA & CARCINOMA IN SITU ,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADDarkSNONoSmokingPalate,SPECKLEDLEUKOPLAKIA,ORAL SQUAMOUS CELL CARCINOMA & CARCINOMA IN SITU ,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADPiNADSharpNoSmokingPalate,SPECKLEDLEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADDarkSharpNoSmokingPalate,SPECKLEDLEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADPiNADSNONoHyesDorsumtongue,SPECKLEDLEUKOPLAKIA,ORAL SQUAMOUS CELL CARCINOMA & CARCINOMA IN SITU ,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADDarkSNONoHyesDorsumtongue,SPECKLEDLEUKOPLAKIA,ORAL SQUAMOUS CELL CARCINOMA & CARCINOMA IN SITU ,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADPiNADSharpNoHyesDorsumtongue,SPECKLEDLEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADDarkSharpNoHyesDorsumtongue,SPECKLEDLEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADPiNADSNONoSmokingDorsumtongue,SPECKLEDLEUKOPLAKIA,ORAL SQUAMOUS CELL CARCINOMA & CARCINOMA IN SITU ,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADDarkSNONoSmokingDorsumtongue,SPECKLEDLEUKOPLAKIA,ORAL SQUAMOUS CELL CARCINOMA & CARCINOMA IN SITU ,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADPiNADSharpNoSmokingDorsumtongue,SPECKLEDLEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADDarkSharpNoSmokingDorsumtongue,SPECKLEDLEUKOPLAKIA,TRAUMATICULCER & CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT AND TO STOP THE HABIT & FOLLOW UP IS MUST & REFER TO SPECIALIST FOR BIOPSY,,
IrregularL1M2NADGNADMNADPiNADSNOYesHyesMixedareas,APTHOUS ULCER,TRAUMATICULCER & SPECKLEDLEUKOPLAKIA,ADVISE SYMPTOMATIC TREATMENT  & TO STOP THE HABIT  & OBSERVE TWO WEEKS  & REFER TO A SPECIALIST  IF NO CHANGE IN TWO WEEKS,,
IrregularL1M2NADGNADMNADDarkSharpYesHyesMixedareas,SPECKLEDLEUKOPLAKIA,CARCINOMA IN SITU,ADVISE SYMPTOMATIC TREATMENT  & TO STOP THE HABIT  & REFER TO A SPECIALIST  FOR BIOPSY,,
,,,,,
UNADRedwhitelinesGNADMNADPiNADkSNOYESHNoBmucosa, ORAL LICHEN PLANUS,ORAL LEUKOPLAKIA, CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
UNADRedwhitelinesGNADMNADPiNADkSNOYESHNoBsulcus, ORAL LICHEN PLANUS,ORAL LEUKOPLAKIA, CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
UNADRedwhitelinesGNADMNADPiNADkSNOYESHNoPalate, ORAL LICHEN PLANUS,ORAL LEUKOPLAKIA, CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
UNADRedwhitelinesGNADMNADPiNADkSNOYESHNoRetromolararea, ORAL LICHEN PLANUS,ORAL LEUKOPLAKIA, CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
UNADRedwhitelinesGNADMNADPiNADkSNOYESHNoLip, ORAL LICHEN PLANUS,ORAL LEUKOPLAKIA, CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
UNADRedwhitelinesGNADMNADPiNADkSNOYESHNoGinigiva, ORAL LICHEN PLANUS,ORAL LEUKOPLAKIA, CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
UNADRedwhitelinesGNADMNADPiNADkSNOYESHNoFloor, ORAL LICHEN PLANUS,ORAL LEUKOPLAKIA, CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
UNADRedwhitelinesGNADMNADPiNADkSNOYESHNoDorsumtongue, ORAL LICHEN PLANUS,ORAL LEUKOPLAKIA, CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
UNADRedwhitelinesGNADMNADPiNADkSNOYESHNoLateraltongue, ORAL LICHEN PLANUS,ORAL LEUKOPLAKIA, CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
,,,,,
IrregularM1M2RedwhiteGNADMNADPiNADSNOYESHnoBmucosa,TRAUMATICULCER ,APTHOUS ULCER, CARCINOMA IN SITU,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
IrregularM1M2RedwhiteGNADMNADPiNADSNOYESHnoBsulcus,TRAUMATICULCER ,APTHOUS ULCER, CARCINOMA IN SITU,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
IrregularM1M2RedwhiteGNADMNADPiNADSNOYESHnoLip,TRAUMATICULCER ,APTHOUS ULCER, CARCINOMA IN SITU,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
IrregularM1M2RedwhiteGNADMNADPiNADSNOYESHnoGingiva,TRAUMATICULCER ,APTHOUS ULCER, CARCINOMA IN SITU,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
IrregularM1M2RedwhiteGNADMNADPiNADSNOYESHnoFloor,TRAUMATICULCER ,APTHOUS ULCER, CARCINOMA IN SITU,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
IrregularM1M2RedwhiteGNADMNADPiNADSNOYESHnoRetromolararea,TRAUMATICULCER ,APTHOUS ULCER, CARCINOMA IN SITU,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
IrregularM1M2RedwhiteGNADMNADPiNADSNOYESHnoPalate,TRAUMATICULCER ,APTHOUS ULCER, CARCINOMA IN SITU,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
IrregularM1M2RedwhiteGNADMNADPiNADSNOYESHnoDorsumtongue,TRAUMATICULCER ,APTHOUS ULCER, CARCINOMA IN SITU,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
IrregularM1M2RedwhiteGNADMNADPiNADSNOYESHnoLateraltongue,TRAUMATICULCER ,APTHOUS ULCER, CARCINOMA IN SITU,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
,,,,,
UNADRedGNADMNADPiNADSNOYESHnoPalate,INFLAMATORY LESION,CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,,
UNADRedGNADMNADPiNADSNOYESHnoBmucosa,INFLAMATORY LESION,CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,,
UNADRedGNADMNADPiNADSNOYESHnoLip,INFLAMATORY LESION,CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,,
UNADRedGNADMNADPiNADSNOYESHnoGingiva,INFLAMATORY LESION,CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,,
UNADRedGNADMNADPiNADSNOYESHnoRetromolararea,INFLAMATORY LESION,CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,,
UNADRedGNADMNADPiNADSNOYESHnoDorsumtongue,INFLAMATORY LESION,CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,,
UNADRedGNADMNADPiNADSNOYESHnoLateraltongue,INFLAMATORY LESION,CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,,
UNADRedGNADMNADPiNADSNOYESHnoBsulcus,INFLAMATORY LESION,CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,,
UNADRedGNADMNADPiNADSNOYESHnoFloor,INFLAMATORY LESION,CANDIDIASIS,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,,
,,,,,
,,,,,
UNADRedwhiteGNADMNADPiNADSNOYESHnoBmucosa,CANDIDIASIS,SPECKLED LEUKOPLAKIA, TRAUMATICULCER ,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
UNADRedwhiteGNADMNADPiNADSNOYESHnoBsulcus,CANDIDIASIS,SPECKLED LEUKOPLAKIA, TRAUMATICULCER ,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
UNADRedwhiteGNADMNADPiNADSNOYESHnoPalate,CANDIDIASIS,SPECKLED LEUKOPLAKIA, TRAUMATICULCER ,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
UNADRedwhiteGNADMNADPiNADSNOYESHnoLip,CANDIDIASIS,SPECKLED LEUKOPLAKIA, TRAUMATICULCER ,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
UNADRedwhiteGNADMNADPiNADSNOYESHnoGingiva,CANDIDIASIS,SPECKLED LEUKOPLAKIA, TRAUMATICULCER ,SYMPTOMATIC TREATMENT & FOLLOW UP IS MUST ,
